"","nameList","rating"
"4475","Mark Witsken",3.298
"3544","Carlos Taberner",3.298
"1952","Dave Randall",3.296
"1525","Ioannis Rigas",3.296
"3630","Ed Grubb",3.296
"3389","Nikoloz Basilashvili",3.296
"790","John Mcenroe",3.295
"1953","Juan Albert Viloca Puig",3.294
"3131","Dustin Brown",3.293
"3085","Ivan Dodig",3.293
"2112","Ville Liukko",3.293
"778","S Johansson",3.292
"1486","Tomas Carbonell",3.292
"2232","Geoff Grant",3.291
"2269","Andrei Stoliarov",3.291
"54","Ken Rosewall",3.291
"2517","Gilles Muller",3.289
"3135","Tim Smyczek",3.288
"80","Jairo Velasco",3.288
"3082","Horacio Zeballos",3.288
"1435","Jay Berger",3.288
"3242","Inigo Cervantes Huegun",3.287
"2273","Davide Sanguinetti",3.286
"2062","Marcelo Rios",3.286
"1580","Richard Vogel",3.286
"2591","Alejandro Falla",3.284
"3543","Lorenzo Sonego",3.284
"2995","Jesse Huta Galung",3.284
"2924","Lukas Lacko",3.282
"3247","Facundo Bagnis",3.281
"2212","Ignacio Truyol",3.281
"3145","Guillermo Alcaide",3.28
"2367","Mariano Sanchez",3.28
"1807","Sandon Stolle",3.28
"2473","Reginald Willems",3.279
"1556","Michael Chang",3.279
"2077","Bill Barber",3.278
"2846","Denis Gremelmayr",3.278
"2884","Evgeny Korolev",3.278
"3356","Gonzalo Lama",3.276
"501","Jerry Van Linge",3.276
"754","Javier Soler",3.275
"2625","Benjamin Cassaigne",3.275
"1803","Christian Ruud",3.275
"1615","Richard Fromberg",3.273
"1157","Mark Dickson",3.273
"2605","Stefano Galvani",3.273
"1041","Shahar Perkiss",3.272
"783","Heinz Gunthardt",3.272
"2950","Louk Sorensen",3.271
"3084","Alexandr Dolgopolov",3.27
"917","L Maeso",3.269
"5694","Christopher Oconnell",3.269
"3023","Chris Eaton",3.268
"3034","Somdev Devvarman",3.268
"2771","Edouard Roger Vasselin",3.268
"1316","Srinivasan Vasudevan",3.268
"3042","Ryler Deheart",3.267
"3440","Thomas Fabbiano",3.267
"3460","Tristan Lamasine",3.265
"2011","Filip Dewulf",3.265
"2436","Noam Okun",3.264
"2157","Oleg Ogorodov",3.264
"1550","David Wheaton",3.264
"2343","Bob Bryan",3.263
"623","Douglas Palm",3.263
"822","Terry Rocavert",3.263
"2746","Florian Mayer",3.262
"3261","Liang Chi Huang",3.262
"1965","Stephan Rhode",3.262
"750","Eliot Teltscher",3.26
"1222","Simon Youl",3.259
"2419","Michael Hill",3.259
"3181","Blaz Rola",3.258
"2757","Marcos Baghdatis",3.258
"2013","Michael Tebbutt",3.257
"2158","Mariano Zabaleta",3.256
"1855","Grant Stafford",3.255
"2968","Jamie Baker",3.255
"3072","Carsten Ball",3.255
"1507","Pieter Aldrich",3.253
"2900","Richard Bloomfield",3.252
"3566","Oscar Otte",3.252
"2429","Jamie Delgado",3.251
"2428","Arvind Parmar",3.251
"2565","Julien Benneteau",3.251
"971","Stevenson Clarke",3.251
"2844","Sergiy Stakhovsky",3.251
"2350","George Bastl",3.25
"959","Andy Kohlberg",3.25
"2985","Jesse Levine",3.249
"3558","Oriol Roca Batalla",3.249
"471","Greg Osborne",3.248
"2047","Miguel Tobon",3.248
"1822","Francisco Montana",3.248
"2476","Mikhail Youzhny",3.247
"3537","Viktor Galovic",3.247
"2766","Brian Baker",3.247
"2653","Hee Seok Chung",3.246
"2423","Martin Spottl",3.246
"1942","Kevin Ullyett",3.245
"2842","Adam Chadaj",3.245
"1012","Young Dae Jeon",3.245
"2339","Oscar Burrieza",3.243
"3061","Clement Morel",3.242
"2378","Zeljko Krajan",3.242
"2225","Tom Kempers",3.241
"2776","Ian Flanagan",3.241
"2546","Hugo Armando",3.24
"1817","Danny Sapsford",3.239
"1195","Junie Chatman",3.239
"2857","Go Soeda",3.238
"3126","Julian Reister",3.238
"1301","S Viljoen",3.236
"2687","Rajeev Ram",3.236
"2480","Michel Kratochvil",3.236
"2909","Stefano Ianni",3.235
"3296","Peter Gojowczyk",3.235
"2434","Christophe Rochus",3.235
"1726","Gabriel Markus",3.235
"2487","Jonas Froberg",3.235
"5438","Devin Britton",3.234
"2544","Jan Vacek",3.234
"452","Jason Van Kerckhoven",3.234
"2623","Kristof Vliegen",3.233
"3026","Romain Jouan",3.233
"3121","Tatsuma Ito",3.233
"1438","Alex Antonitsch",3.233
"3291","Mirza Basic",3.233
"2800","Lamine Ouahab",3.232
"237","Vladimir Korotkov",3.232
"2036","Donald Johnson",3.232
