"","nameList","rating"
"3245","Liang Chi Huang",3.291
"1641","Francisco Roig",3.2907
"3371","Mate Delic",3.2906
"3190","Evgeny Donskoy",3.2899
"1939","Jamie Morgan",3.2895
"3129","Alexandr Dolgopolov",3.2889
"2789","Frederico Gil",3.2877
"3003","Jamie Baker",3.2874
"3600","Oscar Otte",3.2866
"3375","Tim Puetz",3.2864
"1218","Jonathan Canter",3.2863
"3228","Bastian Knittel",3.2862
"752","Javier Soler",3.2861
"34","Robert Lutz",3.2859
"157","Teimuraz Kakoulia",3.2853
"3057","Chris Eaton",3.2838
"3543","Michael Mmoh",3.2825
"1921","Grant Stafford",3.2814
"2518","Olivier Rochus",3.2802
"3538","Mitchell Krueger",3.2798
"3501","Mikael Ymer",3.2792
"1806","Aki Rahunen",3.2784
"3485","Nicolas Kicker",3.2777
"1277","Todd Nelson",3.2775
"2473","Noam Okun",3.2771
"716","Nikola Soear",3.2763
"506","Jerry Van Linge",3.2761
"2766","Juan Monaco",3.276
"1418","Jin Sun Yoo",3.2758
"2577","Marcelo Barboza",3.2752
"3476","Adam Pavlasek",3.2752
"1099","Ben Testerman",3.2742
"867","Ramesh Krishnan",3.2738
"2424","Edwin Kempes",3.273
"1511","Eduardo Velez",3.2719
"2572","Alejandro Falla",3.2702
"3127","Marius Copil",3.2698
"2489","Mikhail Youzhny",3.2695
"1955","David Dilucia",3.2692
"2767","Brian Baker",3.2687
"3121","Alexandre Sidorenko",3.2677
"1298","Jorgen Windahl",3.2676
"2330","Michael Sell",3.2671
"2181","Vladimir Voltchkov",3.2668
"4979","Guillaume Marx",3.2668
"3481","Marcus Willis",3.2657
"1969","Kevin Ullyett",3.2654
"1454","Harald Rittersbacher",3.2654
"2781","Gyorgy Balazs",3.2644
"1899","Chris Wilkinson",3.2638
"2062","Chris Woodruff",3.2633
"2970","Peter Polansky",3.2622
"1186","Bruce Derlin",3.2607
"2093","Gabriel Silberstein",3.2606
"23","Graham Stilwell",3.2599
"1792","Bryan Shelton",3.2595
"3105","Ze Zhang",3.2589
"3124","Horacio Zeballos",3.2589
"2498","Dimitri Mazur",3.2586
"1011","Stevenson Clarke",3.2582
"3477","Mathias Bourgue",3.2569
"2445","Markus Hantschk",3.2569
"1928","Frederic Fontang",3.2539
"1241","Jakob Hlasek",3.2538
"1461","Christian Bergstrom",3.2538
"906","Robert Vant Hof",3.2537
"2612","Stefano Galvani",3.2532
"962","Mike Harrington",3.2529
"2442","Gabriel Trifu",3.2517
"2731","Prakash Amritraj",3.2514
"1207","Guy Forget",3.2509
"1347","Karel Novacek",3.2506
"2177","Stephen Noteboom",3.2505
"3286","Roberto Quiroz",3.2497
"1864","Marcelo Saliola",3.2491
"1357","Craig Campbell",3.2483
"2046","Hendrik Dreekmann",3.2475
"1865","Richard Krajicek",3.2471
"2457","Arvind Parmar",3.2466
"2963","Viktor Troicki",3.2458
"188","Brian Fairlie",3.2456
"42","Fred Stolle",3.243
"2338","Mariano Puerta",3.2427
"2346","Zeljko Krajan",3.2424
"2818","Lamine Ouahab",3.2411
"1843","Wayne Ferreira",3.241
"1547","Arnaud Boetsch",3.2406
"2331","Andrei Stoliarov",3.24
"1990","Greg Rusedski",3.2395
"1302","Amos Mansdorf",3.2391
"2509","Gilles Muller",3.2389
"2932","Richard Bloomfield",3.2377
"2066","Thomas Johansson",3.2373
"2708","Frederik Nielsen",3.2368
"2507","Mario Ancic",3.2344
"2625","Marc Gicquel",3.234
"1331","Francisco Yunis",3.234
"1812","Ka Vhei Kam",3.2336
"3112","Attila Balazs",3.2331
"3207","Thomas Schoorel",3.2324
"2032","Gerard Solves",3.2324
"2747","Florian Mayer",3.2318
"1927","Daniel Orsanic",3.2318
"3552","Marc Andrea Huesler",3.2316
"3274","Inigo Cervantes Huegun",3.2315
"984","Young Dae Jeon",3.2301
"1304","Jonas Svensson",3.2301
"2513","Guillermo Coria",3.2301
"2381","Mariano Sanchez",3.229
"1028","Florin Segarceanu",3.2287
"2815","Omar Hedayet",3.2268
"1230","Michael Westphal",3.2268
"2318","John Van Lottum",3.2268
